"Name","Location","Function Signature","Function Size"
"FUN_100036c0","100036c0","int * * FUN_100036c0(void * this\, int * * param_1)","63"
"FUN_10003700","10003700","undefined FUN_10003700(int * * param_1)","34"
"PPropertyName","10003730","undefined PPropertyName(PPropertyName * this\, TPCString * param_1\, TPCString * param_2)","53"
"PPropertyName","10003770","undefined PPropertyName(PPropertyName * this\, TPCString * param_1)","28"
"PPropertyName","10003790","undefined PPropertyName(PPropertyName * this)","10"
"PPropertyReader","10003820","undefined PPropertyReader(PPropertyReader * this)","93"
"~PPropertyReader","10003880","void ~PPropertyReader(PPropertyReader * this)","113"
"Open","10003900","bool Open(PPropertyReader * this\, undefined param_1)","249"
"Open","10003a00","bool Open(PPropertyReader * this\, undefined param_1\, TFile * param_2)","164"
"Close","10003ab0","void Close(PPropertyReader * this)","49"
"AddDefinitionBlock","10003af0","void AddDefinitionBlock(PPropertyReader * this\, TManagedPtr<class_PPropertyBlock> param_1)","388"
"Load","10003c90","bool Load(PPropertyReader * this)","936"
"Load","100040a0","bool Load(PPropertyReader * this\, undefined param_1\, PProperties * param_2)","451"
"LoadPropertyBlock","10004270","PProperties * LoadPropertyBlock(PPropertyReader * this)","286"
"LoadPropertyBlock","100043a0","bool LoadPropertyBlock(PPropertyReader * this\, PProperties * param_1)","276"
"LoadProperty","100044c0","bool LoadProperty(PPropertyReader * this\, PProperties * param_1)","3886"
"LoadPropertyName","10005460","bool LoadPropertyName(PPropertyReader * this\, TPCString * param_1\, TPCString * param_2)","2040"
"LoadBlockHeader","10005c60","bool LoadBlockHeader(PPropertyReader * this\, TPCString * param_1)","1375"
"Token2Value","100061f0","PPropertyValue Token2Value(PPropertyReader * this\, Token * param_1)","761"
"Error","100064f0","void Error(PPropertyReader * this\, undefined param_1)","353"
"Error","10006660","void Error(PPropertyReader * this\, Token * param_1\, undefined param_2)","242"
"Warning","10006760","void Warning(PPropertyReader * this\, undefined param_1)","314"
"Warning","100068a0","void Warning(PPropertyReader * this\, Token * param_1\, undefined param_2)","204"
"GetValue","10006970","bool GetValue(PPropertyReader * this\, PPropertyValue * param_1)","2645"
"SkipBlock","10007400","bool SkipBlock(PPropertyReader * this)","746"
"OnLexerParseError","10007710","bool OnLexerParseError(PPropertyReader * param_1\, TFileLexerUTF8 * param_2\, ParseError * param_3)","285"
"FUN_10007830","10007830","undefined FUN_10007830(void * this\, uint param_1)","254"
"FUN_10007990","10007990","undefined FUN_10007990(int * * param_1)","34"
"FUN_100079c0","100079c0","int * * FUN_100079c0(void * this\, int * * param_1)","63"
"FUN_10007a00","10007a00","undefined FUN_10007a00(int * * param_1)","34"
"DeinitialiseStatic","10007a30","void DeinitialiseStatic(void)","1"
"InitialiseStatic","10007a40","void InitialiseStatic(void)","1"
"CreateObjectInPlace","10007a50","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","10007a70","TObject * CreateObject(void)","40"
"GetClass","10007aa0","TClass * GetClass(PPropertyReader * this)","6"
"operator->","10007ad0","int operator->(void * this\, int * param_1)","151"
"FUN_10007b80","10007b80","undefined FUN_10007b80(void * this\, int param_1)","278"
"FUN_10007ca0","10007ca0","undefined FUN_10007ca0(void * this\, int param_1)","187"
"FUN_10007d60","10007d60","int * FUN_10007d60(void * this\, int * param_1\, TPCString * param_2\, undefined * param_3)","199"
"FUN_10007e30","10007e30","int * FUN_10007e30(void * this\, int * param_1\, TPCString * param_2)","212"
"FUN_10007f10","10007f10","undefined FUN_10007f10(void * this\, int param_1\, int param_2)","653"
"GetParseErrorEmitter","100081f0","TEmitter<class_PPropertyReader\,class_PPropertyReaderParseError> * GetParseErrorEmitter(PPropertyReader * this)","6"
"GetLexer","10008200","TFileLexerUTF8 * GetLexer(PPropertyReader * this)","4"
"SetAssertOnError","10008210","void SetAssertOnError(PPropertyReader * this\, bool param_1)","10"
"SetLoadComments","10008220","void SetLoadComments(PPropertyReader * this\, bool param_1)","10"
"operator=","10008230","PPropertyReaderParseError * operator=(PPropertyReaderParseError * this\, PPropertyReaderParseError * param_1)","40"
"~PPropertyReaderParseError","10008260","void ~PPropertyReaderParseError(PPropertyReaderParseError * this)","96"
"PPropertyReaderParseError","100082c0","undefined PPropertyReaderParseError(PPropertyReaderParseError * this\, PPropertyReaderParseError * param_1)","46"
"PPropertyReaderParseError","100082f0","undefined PPropertyReaderParseError(PPropertyReaderParseError * this)","10"
"PPropertyValue","10008300","undefined PPropertyValue(PPropertyValue * this\, TPCString * param_1)","55"
"PPropertyValue","10008340","undefined PPropertyValue(PPropertyValue * this\, TPWString * param_1)","55"
"PPropertyValue","10008380","undefined PPropertyValue(PPropertyValue * this\, TLString * param_1)","55"
