"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"DeserialiseStates","10018bb0","Function","3","Toshi::TGUIStyle::DeserialiseStates","bool","bool DeserialiseStates(TGUIStyle * this\, PProperties * param_1\, TGUIStyleRootComponent * param_2)"
"?DeserialiseStates@TGUIStyle@Toshi@@AAE_NPBVPProperties@@PAVTGUIStyleRootComponent@2@@Z","10018bb0","Function","3","Toshi::TGUIStyle::DeserialiseStates","","?DeserialiseStates@TGUIStyle@Toshi@@AAE_NPBVPProperties@@PAVTGUIStyleRootComponent@2@@Z"
"Ordinal_469","10018d40","Function","2","Toshi::TGUIStyle::DeserialiseWidgetProps","","Ordinal_469"
"DeserialiseWidgetProps","10018d40","Function","2","Toshi::TGUIStyle::DeserialiseWidgetProps","bool","bool DeserialiseWidgetProps(TGUIStyle * this\, PProperties * param_1)"
"?DeserialiseWidgetProps@TGUIStyle@Toshi@@AAE_NPBVPProperties@@@Z","10018d40","Function","2","Toshi::TGUIStyle::DeserialiseWidgetProps","","?DeserialiseWidgetProps@TGUIStyle@Toshi@@AAE_NPBVPProperties@@@Z"
"Ordinal_1009","10018e60","Function","2","Toshi::TGUIStyle::SerialiseRootComponents","","Ordinal_1009"
"SerialiseRootComponents","10018e60","Function","2","Toshi::TGUIStyle::SerialiseRootComponents","bool","bool SerialiseRootComponents(TGUIStyle * this\, PProperties * param_1)"
"?SerialiseRootComponents@TGUIStyle@Toshi@@AAE_NPAVPProperties@@@Z","10018e60","Function","2","Toshi::TGUIStyle::SerialiseRootComponents","","?SerialiseRootComponents@TGUIStyle@Toshi@@AAE_NPAVPProperties@@@Z"
"Ordinal_1011","10019010","Function","3","Toshi::TGUIStyle::SerialiseStates","","Ordinal_1011"
"SerialiseStates","10019010","Function","3","Toshi::TGUIStyle::SerialiseStates","bool","bool SerialiseStates(TGUIStyle * this\, PProperties * param_1\, TGUIStyleRootComponent * param_2)"
"?SerialiseStates@TGUIStyle@Toshi@@AAE_NPAVPProperties@@PAVTGUIStyleRootComponent@2@@Z","10019010","Function","3","Toshi::TGUIStyle::SerialiseStates","","?SerialiseStates@TGUIStyle@Toshi@@AAE_NPAVPProperties@@PAVTGUIStyleRootComponent@2@@Z"
"Ordinal_1012","10019180","Function","2","Toshi::TGUIStyle::SerialiseWidgetProps","","Ordinal_1012"
"SerialiseWidgetProps","10019180","Function","2","Toshi::TGUIStyle::SerialiseWidgetProps","bool","bool SerialiseWidgetProps(TGUIStyle * this\, PProperties * param_1)"
"?SerialiseWidgetProps@TGUIStyle@Toshi@@AAE_NPAVPProperties@@@Z","10019180","Function","2","Toshi::TGUIStyle::SerialiseWidgetProps","","?SerialiseWidgetProps@TGUIStyle@Toshi@@AAE_NPAVPProperties@@@Z"
"FUN_100192a0","100192a0","Function","2","FUN_100192a0","undefined","undefined FUN_100192a0(void * this\, uint param_1)"
"FUN_10019320","10019320","Function","2","FUN_10019320","undefined","undefined FUN_10019320(void * this\, uint param_1)"
"Ordinal_972","100198a0","Function","2","Toshi::TGUIStyle::ReleaseFixedWidgetProperty","","Ordinal_972"
"ReleaseFixedWidgetProperty","100198a0","Function","2","Toshi::TGUIStyle::ReleaseFixedWidgetProperty","void","void ReleaseFixedWidgetProperty(TGUIStyle * this\, TPCString * param_1)"
"?ReleaseFixedWidgetProperty@TGUIStyle@Toshi@@QAEXABVTPCString@2@@Z","100198a0","Function","2","Toshi::TGUIStyle::ReleaseFixedWidgetProperty","","?ReleaseFixedWidgetProperty@TGUIStyle@Toshi@@QAEXABVTPCString@2@@Z"
"Ordinal_892","100198f0","Function","2","Toshi::TGUIStyle::IsWidgetPropertyFixed","","Ordinal_892"
"IsWidgetPropertyFixed","100198f0","Function","2","Toshi::TGUIStyle::IsWidgetPropertyFixed","bool","bool IsWidgetPropertyFixed(TGUIStyle * this\, TPCString * param_1)"
"?IsWidgetPropertyFixed@TGUIStyle@Toshi@@QBE_NABVTPCString@2@@Z","100198f0","Function","2","Toshi::TGUIStyle::IsWidgetPropertyFixed","","?IsWidgetPropertyFixed@TGUIStyle@Toshi@@QBE_NABVTPCString@2@@Z"
"Ordinal_698","10019920","Function","2","Toshi::TGUIStyle::GetParameterInfo","","Ordinal_698"
"GetParameterInfo","10019920","Function","2","Toshi::TGUIStyle::GetParameterInfo","TGUIStyleParameterInfo *","TGUIStyleParameterInfo * GetParameterInfo(TGUIStyle * this\, TPCString * param_1)"
"?GetParameterInfo@TGUIStyle@Toshi@@QBEPBVTGUIStyleParameterInfo@2@ABVTPCString@2@@Z","10019920","Function","2","Toshi::TGUIStyle::GetParameterInfo","","?GetParameterInfo@TGUIStyle@Toshi@@QBEPBVTGUIStyleParameterInfo@2@ABVTPCString@2@@Z"
"Ordinal_699","10019950","Function","2","Toshi::TGUIStyle::GetParameterInfo","","Ordinal_699"
"GetParameterInfo","10019950","Function","2","Toshi::TGUIStyle::GetParameterInfo","TGUIStyleParameterInfo *","TGUIStyleParameterInfo * GetParameterInfo(TGUIStyle * this\, int param_1)"
"?GetParameterInfo@TGUIStyle@Toshi@@QBEPBVTGUIStyleParameterInfo@2@H@Z","10019950","Function","2","Toshi::TGUIStyle::GetParameterInfo","","?GetParameterInfo@TGUIStyle@Toshi@@QBEPBVTGUIStyleParameterInfo@2@H@Z"
"Ordinal_755","10019970","Function","3","Toshi::TGUIStyle::GetState","","Ordinal_755"
"GetState","10019970","Function","3","Toshi::TGUIStyle::GetState","TGUIStyleState *","TGUIStyleState * GetState(TGUIStyle * this\, TPCString * param_1\, uint param_2)"
"?GetState@TGUIStyle@Toshi@@QBEPAVTGUIStyleState@2@ABVTPCString@2@I@Z","10019970","Function","3","Toshi::TGUIStyle::GetState","","?GetState@TGUIStyle@Toshi@@QBEPAVTGUIStyleState@2@ABVTPCString@2@I@Z"
"Ordinal_742","100199b0","Function","2","Toshi::TGUIStyle::GetRootComponent","","Ordinal_742"
"GetRootComponent","100199b0","Function","2","Toshi::TGUIStyle::GetRootComponent","TGUIStyleRootComponent *","TGUIStyleRootComponent * GetRootComponent(TGUIStyle * this\, int param_1)"
"?GetRootComponent@TGUIStyle@Toshi@@QAEAAVTGUIStyleRootComponent@2@H@Z","100199b0","Function","2","Toshi::TGUIStyle::GetRootComponent","","?GetRootComponent@TGUIStyle@Toshi@@QAEAAVTGUIStyleRootComponent@2@H@Z"
"Ordinal_805","100199c0","Function","1","Toshi::TGUIStyle::Get_marginright_property","","Ordinal_805"
"Get_marginright_property","100199c0","Function","1","Toshi::TGUIStyle::Get_marginright_property","PPropertyValue","PPropertyValue Get_marginright_property(TGUIStyle * this)"
"?Get_marginright_property@TGUIStyle@Toshi@@QBE?AVPPropertyValue@@XZ","100199c0","Function","1","Toshi::TGUIStyle::Get_marginright_property","","?Get_marginright_property@TGUIStyle@Toshi@@QBE?AVPPropertyValue@@XZ"
"Ordinal_1145","100199e0","Function","2","Toshi::TGUIStyle::Set_marginright_property","","Ordinal_1145"
"Set_marginright_property","100199e0","Function","2","Toshi::TGUIStyle::Set_marginright_property","void","void Set_marginright_property(TGUIStyle * this\, PPropertyValue * param_1)"
"?Set_marginright_property@TGUIStyle@Toshi@@QAEXABVPPropertyValue@@@Z","100199e0","Function","2","Toshi::TGUIStyle::Set_marginright_property","","?Set_marginright_property@TGUIStyle@Toshi@@QAEXABVPPropertyValue@@@Z"
"Ordinal_804","10019a00","Function","1","Toshi::TGUIStyle::Get_marginleft_property","","Ordinal_804"
"Get_marginleft_property","10019a00","Function","1","Toshi::TGUIStyle::Get_marginleft_property","PPropertyValue","PPropertyValue Get_marginleft_property(TGUIStyle * this)"
"?Get_marginleft_property@TGUIStyle@Toshi@@QBE?AVPPropertyValue@@XZ","10019a00","Function","1","Toshi::TGUIStyle::Get_marginleft_property","","?Get_marginleft_property@TGUIStyle@Toshi@@QBE?AVPPropertyValue@@XZ"
"Ordinal_1144","10019a20","Function","2","Toshi::TGUIStyle::Set_marginleft_property","","Ordinal_1144"
"Set_marginleft_property","10019a20","Function","2","Toshi::TGUIStyle::Set_marginleft_property","void","void Set_marginleft_property(TGUIStyle * this\, PPropertyValue * param_1)"
"?Set_marginleft_property@TGUIStyle@Toshi@@QAEXABVPPropertyValue@@@Z","10019a20","Function","2","Toshi::TGUIStyle::Set_marginleft_property","","?Set_marginleft_property@TGUIStyle@Toshi@@QAEXABVPPropertyValue@@@Z"
"Ordinal_803","10019a40","Function","1","Toshi::TGUIStyle::Get_marginbottom_property","","Ordinal_803"
"Get_marginbottom_property","10019a40","Function","1","Toshi::TGUIStyle::Get_marginbottom_property","PPropertyValue","PPropertyValue Get_marginbottom_property(TGUIStyle * this)"
"?Get_marginbottom_property@TGUIStyle@Toshi@@QBE?AVPPropertyValue@@XZ","10019a40","Function","1","Toshi::TGUIStyle::Get_marginbottom_property","","?Get_marginbottom_property@TGUIStyle@Toshi@@QBE?AVPPropertyValue@@XZ"
"Ordinal_1143","10019a60","Function","2","Toshi::TGUIStyle::Set_marginbottom_property","","Ordinal_1143"
"Set_marginbottom_property","10019a60","Function","2","Toshi::TGUIStyle::Set_marginbottom_property","void","void Set_marginbottom_property(TGUIStyle * this\, PPropertyValue * param_1)"
"?Set_marginbottom_property@TGUIStyle@Toshi@@QAEXABVPPropertyValue@@@Z","10019a60","Function","2","Toshi::TGUIStyle::Set_marginbottom_property","","?Set_marginbottom_property@TGUIStyle@Toshi@@QAEXABVPPropertyValue@@@Z"
"Ordinal_806","10019a80","Function","1","Toshi::TGUIStyle::Get_margintop_property","","Ordinal_806"
"Get_margintop_property","10019a80","Function","1","Toshi::TGUIStyle::Get_margintop_property","PPropertyValue","PPropertyValue Get_margintop_property(TGUIStyle * this)"
