"Name","Location","Type","Param Count","Function Name","Data Type","Preview"
"?CreateFile@TMemFileSystem@Toshi@@UAEPAVTFile@2@ABVTCString@2@I@Z","10023e30","Function","3","Toshi::TMemFileSystem::CreateFile","","?CreateFile@TMemFileSystem@Toshi@@UAEPAVTFile@2@ABVTCString@2@I@Z"
"Ordinal_733","10023ea0","Function","2","Toshi::TMemFileSystem::DestroyFile","","Ordinal_733"
"DestroyFile","10023ea0","Function","2","Toshi::TMemFileSystem::DestroyFile","void","void DestroyFile(TMemFileSystem * this\, TFile * param_1)"
"?DestroyFile@TMemFileSystem@Toshi@@UAEXPAVTFile@2@@Z","10023ea0","Function","2","Toshi::TMemFileSystem::DestroyFile","","?DestroyFile@TMemFileSystem@Toshi@@UAEXPAVTFile@2@@Z"
"Ordinal_655","10023ed0","Function","2","Toshi::TMemFileSystem::CreateFile","","Ordinal_655"
"CreateFile","10023ed0","Function","2","Toshi::TMemFileSystem::CreateFile","TFile *","TFile * CreateFile(TMemFileSystem * this\, TFile * param_1)"
"?CreateFile@TMemFileSystem@Toshi@@QAEPAVTFile@2@PAV32@@Z","10023ed0","Function","2","Toshi::TMemFileSystem::CreateFile","","?CreateFile@TMemFileSystem@Toshi@@QAEPAVTFile@2@PAV32@@Z"
"Ordinal_1376","10023f30","Function","3","Toshi::TMemFile::Read","","Ordinal_1376"
"Read","10023f30","Function","3","Toshi::TMemFile::Read","int","int Read(TMemFile * this\, void * param_1\, int param_2)"
"?Read@TMemFile@Toshi@@UAEHPAXH@Z","10023f30","Function","3","Toshi::TMemFile::Read","","?Read@TMemFile@Toshi@@UAEHPAXH@Z"
"Ordinal_1459","10023fd0","Function","3","Toshi::TMemFile::Seek","","Ordinal_1459"
"Seek","10023fd0","Function","3","Toshi::TMemFile::Seek","bool","bool Seek(TMemFile * this\, int param_1\, TSEEK param_2)"
"?Seek@TMemFile@Toshi@@UAE_NHW4TSEEK@TFile@2@@Z","10023fd0","Function","3","Toshi::TMemFile::Seek","","?Seek@TMemFile@Toshi@@UAE_NHW4TSEEK@TFile@2@@Z"
"Ordinal_874","10024030","Function","1","Toshi::TMemFile::GetCChar","","Ordinal_874"
"GetCChar","10024030","Function","1","Toshi::TMemFile::GetCChar","int","int GetCChar(TMemFile * this)"
"?GetCChar@TMemFile@Toshi@@UAEHXZ","10024030","Function","1","Toshi::TMemFile::GetCChar","","?GetCChar@TMemFile@Toshi@@UAEHXZ"
"Ordinal_1063","10024060","Function","1","Toshi::TMemFile::GetWChar","","Ordinal_1063"
"GetWChar","10024060","Function","1","Toshi::TMemFile::GetWChar","int","int GetWChar(TMemFile * this)"
"?GetWChar@TMemFile@Toshi@@UAEHXZ","10024060","Function","1","Toshi::TMemFile::GetWChar","","?GetWChar@TMemFile@Toshi@@UAEHXZ"
"Ordinal_1639","10024090","Function","3","Toshi::TMemFile::VCPrintf","","Ordinal_1639"
"VCPrintf","10024090","Function","3","Toshi::TMemFile::VCPrintf","int","int VCPrintf(TMemFile * this\, char * param_1\, char * param_2)"
"?VCPrintf@TMemFile@Toshi@@UAEHPBDPAD@Z","10024090","Function","3","Toshi::TMemFile::VCPrintf","","?VCPrintf@TMemFile@Toshi@@UAEHPBDPAD@Z"
"Ordinal_1669","100240f0","Function","3","Toshi::TMemFile::VWPrintf","","Ordinal_1669"
"VWPrintf","100240f0","Function","3","Toshi::TMemFile::VWPrintf","int","int VWPrintf(TMemFile * this\, ushort * param_1\, char * param_2)"
"?VWPrintf@TMemFile@Toshi@@UAEHPBGPAD@Z","100240f0","Function","3","Toshi::TMemFile::VWPrintf","","?VWPrintf@TMemFile@Toshi@@UAEHPBGPAD@Z"
"Ordinal_783","10024150","Function","1","Toshi::TMemFile::DumpFile","","Ordinal_783"
"DumpFile","10024150","Function","1","Toshi::TMemFile::DumpFile","void","void DumpFile(TMemFile * this)"
"?DumpFile@TMemFile@Toshi@@QAEXXZ","10024150","Function","1","Toshi::TMemFile::DumpFile","","?DumpFile@TMemFile@Toshi@@QAEXXZ"
"Ordinal_1317","100241b0","Function","3","Toshi::TMemFile::Open","","Ordinal_1317"
