"Name","Location","FunctionSignature","FunctionSize"
"GetClass","1000c370","TClass * GetClass(TIndexPoolResource * this)","6"
"CreateTextureFromFile","1000c400","TTextureResource * CreateTextureFromFile(TTextureFactoryHAL * this\, char * param_1\, uint param_2)","113"
"CreateTextureFromMemory","1000c480","TTextureResource * CreateTextureFromMemory(TTextureFactoryHAL * this\, void * param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5)","165"
"CreateEx","1000c530","TTextureResource * CreateEx(TTextureFactoryHAL * this\, void * param_1\, uint param_2\, uint param_3\, uint param_4\, uint param_5\, TTEXTURERESOURCEFORMAT param_6\, uint param_7)","175"
"Dump","1000c640","void Dump(TTextureFactoryHAL * this)","7"
"~TTextureFactoryHAL","1000c650","void ~TTextureFactoryHAL(TTextureFactoryHAL * this)","13"
"TTextureFactoryHAL","1000c660","undefined TTextureFactoryHAL(TTextureFactoryHAL * this)","22"
"DeinitialiseStatic","1000c680","void DeinitialiseStatic(void)","1"
"InitialiseStatic","1000c690","void InitialiseStatic(void)","1"
"CreateObjectInPlace","1000c6a0","TObject * CreateObjectInPlace(void * param_1)","26"
"CreateObject","1000c6c0","TObject * CreateObject(void)","40"
"GetClass","1000c6f0","TClass * GetClass(TTextureFactoryHAL * this)","6"
"TTextureResourceHAL","1000c790","undefined TTextureResourceHAL(TTextureResourceHAL * this)","38"
"Validate","1000c7c0","bool Validate(TTextureResourceHAL * this)","502"
"Invalidate","1000c9c0","void Invalidate(TTextureResourceHAL * this)","239"
